,pais,comentario,longitud,entropia
58,Australia,About as good as a communist Christmas,38,3.7576856586254097
59,United Kingdom,Brilliant for helping advertise your business,45,4.053429630702996
60,United States,I like the idea...getting better all the time.\n\nI love the interface updates with this version!!\n\nWhy'd they take Foursquare integration away? (Safety?),156,4.445467207129044
61,Canada,I love my fitbit and they app makes it so much more\nGreat job,62,4.196233109424118
62,United States,Good,4,1.5
63,United Kingdom,I love sharing photos,21,3.7489948035250964
64,Singapore,Currently settings only allow to set both preview for lock screen and notifications bar at the same time. Preview message should be flexible to set to only to preview on notifications bar instead of lock screen as well.,219,4.118046014491723
65,Australia,"WHY am I seeing things on my newsfeed from people who I am not friends with, have no mutual friends with, and have never heard of in my life? It's telling me that so-and-so is commenting on/liking their own or someone else's post who I also don't know - I don't want to see this! Facebook is already filled with so much useless *#$@. The majority of my newsfeed is just filled up with people liking things from spammy pages - nobody posts anything anymore. There's probably a good reason for that.\n\nAnd what have you done with the setting to see most recent news instead of top stories?! Sick of seeing things from literally a week ago. Useless app",650,4.386211774138719
66,Canada,It kept popping up asking me to rate,36,3.613924656136659
67,Singapore,Super lousy FB for anyhow locked my account and request for photo for verification and then no response. And best no customer service to help fix the problem. Only some q n a that are totally not helpful!,204,4.251101833119251
68,Singapore,Couldn't see the list of trackers while doing the initial setting up. Pls do something abt it.,94,4.073882130910415
69,Australia,INSTAGRAM NEEDS TO GO BACK TO CHRONOLOGICAL ORDER!!! IM SICK OF LOOKIN LIKE A STALKER LIKER A POST FROM 5 DAYS AGO!!!,117,4.025535944913543
70,Hong Kong,WhatsApp,8,2.75
71,India,It nice apps but glti sy koi pic send ho jaa hai or vaps delete krni hai dono side sy to nhi ho rhi hai so..!,109,3.9554453397498444
72,Singapore,100% best road companion. Waze will be perfect if it can also indicate the lanes to take. That could eliminate a lot of last min turnings.,138,4.159744913385187
73,Australia,I am enjoying using this app and it clearly makes me more conscious of what I eat and drink. Also happy with the link to my Fitbit.,131,4.227766982322454
74,India,"Very sluggish app even on iPhone 7, just learn from your owned app Instagram.",77,4.299722089108856
75,Singapore,I Can't Open My Albums Now\n\nThe Cursor Keeps Going Round & Round\n\nIt Happened Since Yesterday - Saturday 3rd June Till Today 4th June.\n\nI Have Been Trying For 2 Days,171,4.7175582528558255
76,India,Badly crashing,14,3.6644977792004623
77,Australia,I like it. Pretty good.,23,3.621175542919471
78,Australia,"Really love my Fitbit app. Easy to use, easy to set up. Excellent features and compatibility with other apps.\n\nHowever - would like to see compatibility with a cycle tracking app for women",190,4.366093134224391
79,United States,Only reason I'm giving Insta 4 stars vs 5 is because they copied Snapchats entire existence. Shame.,99,4.241322612607101
80,Hong Kong,1) Post \n2) tag ' post' ， ， 1 post ' ' \n\n !  ! !,51,3.48076970450449
81,United States,Love love love Pinterest.,25,3.4488840705376362
82,South Africa,Don't like the new version at all. Can't see who pinned it.,59,3.8980784689437447
83,United Kingdom,"I love this app, I lost about 3 pounds in 2 weeks by the intake of 1500 calories and exercise per day. I love the barcode scanner and how Accurate the app is, definitely recommended to everyone! Amazing",202,4.377096105285593
84,United Kingdom,"I run a business page for which the main bulk of my business is live feeds. Last night I had to restart 10 times due to Facebook either kicking me or my viewers off constantly. After 4 hours of nothing but problems from 3 devices and wifi and data I had to give up and let my customers down, you're now delaying me opening their oysters and sending out orders which in turn leaves my business looking unreliable. Not happy at all! How do I run a business like this??",466,4.34364072746341
85,Singapore,Internationally reliable maps and gps,37,3.8482499068019154
86,United States,"Way to go Pinterest, making another terrible update. Who thought removing the info of who pinned what pin on my feed was a good idea? I know! Your advertising department! Just another way you can push more ads without telling your user. I will be looking into alternative apps that don't shove advertising down users throats like you.",334,4.289163849857238
87,Hong Kong,！ ⋯⋯�,5,1.9219280948873623
88,Singapore,chronological order PLEASE. Jesus.,34,4.219528282299547
89,Australia,So I just made an account but whenever I reopen the app it keeps coming back to the screen of recommended friends and won't let me change out of it could you please fix this soon,178,4.135958715995405
90,Hong Kong,"Why one contact no.  is used in different devices at the same time. Why no recall messages feature. Perhaps, it is added multiple account or contact instead.\nP.S.: I don't think WhatsApp's staffs will read and improve those comments. Usually, they ignore.",256,4.3502473163046895
91,Singapore,"Like other users, encountering newsfeed images not loading properly recently",76,4.092275540297157
92,India,best app bt provide some more 3d touch features,47,3.857260394000672
93,Canada,"Every damn time i send a picture to a group, my entire instagram crashes! When I open it, it goes straight to my home screen so I have to always delete it and reinstall every damn time! Please fix this!",202,4.111688437641537
94,Canada,Instagram was muuuuucccchhh better when my feed was in chronological order. I find it difficult to keep up with people when I don't see half of the posts. Please switch back to chronological,190,4.254296845682431
95,India,Cant see who sent requests or accepted it. Poor step in app!,60,3.8495934991041114
96,Singapore,The latest filter kept blinking. Cannot detect my face.,55,4.080130051428352
97,United Kingdom,Love it!,8,3.0
98,India,I enjoy the service,19,3.5766176449086675
99,Canada,Very helpful & informative.,27,4.106377316818027
100,United States,Never misses by more than 2 minutes. You could set your watch by it!,68,4.148428689813742
101,Hong Kong,post,4,2.0
102,United States,"Which doesn't seem to be very often lately. When waze does work it is awesome, it gives live traffic updates and locations of road closures and police, all reported by other users. But it only does this when it can connect to the network. More often than not waze says Searching for Network in red at the top of the screen and all of the stuff that makes waze better doesn't work. This happens to me all time, even with full bars of 4G. There is no point to using waze if it doesn't work.",488,4.231294314559174
103,Singapore,o0o,3,0.9182958340544896
104,Hong Kong,What's wrong with the app???\nIsn't the IT team actually wants us delete the app and start using other social media apps??,122,4.160191794501812
105,United States,Great app for getting around LA on sidestreets.,47,3.897348098232302
106,Australia,Love seeing all the images,26,3.5616073922012155
107,United States,None of the videos have sound/music anymore :(  PLEASE FIX!!!,61,4.5093730030671875
108,Hong Kong,,3,0.9182958340544896
109,Australia,"Stop refreshing the page every freaking time I open the app!! I am in the middle of writing a comment, switch to another app to check something for 5 seconds, come back and you deleted my entire comment and take me to the home page!! You are destroying this app. Not using it again until you fix this epidemic",309,4.2099663913227054
110,United Kingdom,Top,3,1.584962500721156
111,United States,"When posting multiple pictures in 1 post, why do all of the pictures have to be in Square mode??! I want to be able to see full pictures. Please change that. Thanks",164,4.33053440616631
112,Hong Kong,"I can't share any post to Facebook!!!! I have checked all my settings are all right, but all my post on Instagram can't show on my Facebook wall, PLEASE FIX THIS ASAP!!! 😤😠😡💢",174,4.615619558285827
